,Time,Name,Maternal mortality ratio (%)
722,2000-01-01,Caribbean,
723,2000-01-01,Africa,
724,2000-01-01,Northern Europe,
725,2000-01-01,Antigua and Barbuda,
726,2000-01-01,Africa,
727,2000-01-01,Other non-specified areas,
728,2000-01-01,Eastern Europe,
729,2000-01-01,Central Asia,
730,2000-01-01,"China, Macao SAR",
731,2000-01-01,New Caledonia,
732,2000-01-01,Western Sahara,
733,2000-01-01,Western Europe,
734,2000-01-01,Western Africa,
735,2000-01-01,Northern America,
736,2000-01-01,Northern Europe,
737,2000-01-01,Oceania,
738,2000-01-01,Other non-specified areas,
739,2000-01-01,Uruguay,0.026
740,2000-01-01,United States Virgin Islands,
741,2000-01-01,Polynesia,
742,2000-01-01,Réunion,
743,2000-01-01,Germany,0.007
744,2000-01-01,Curaçao,
745,2000-01-01,Seychelles,
746,2000-01-01,Slovakia,0.007
747,2000-01-01,South America,
748,2000-01-01,South-central Asia,
749,2000-01-01,Southern Europe,
750,2000-01-01,Southern Africa,
751,2000-01-01,Southern Europe,
752,2000-01-01,Southern Africa,
753,2000-01-01,South-central Asia,
754,2000-01-01,South America,
755,2000-01-01,Slovakia,0.007
756,2000-01-01,Africa,
757,2000-01-01,French Polynesia,
758,2000-01-01,French Guiana,
759,2000-01-01,Antigua and Barbuda,
760,2000-01-01,Eastern Africa,
761,2000-01-01,Europe,
762,2000-01-01,French Guiana,
763,2000-01-01,French Polynesia,
764,2000-01-01,Curaçao,
765,2000-01-01,Germany,0.007
766,2000-01-01,Guadeloupe,
767,2000-01-01,Guam,
768,2000-01-01,"China, Macao SAR",
769,2000-01-01,"China, Hong Kong SAR",
770,2000-01-01,Eastern Europe,
771,2000-01-01,Channel Islands,
772,2000-01-01,Seychelles,
773,2000-01-01,Central Asia,
774,2000-01-01,Caribbean,
775,2000-01-01,Aruba,
776,2000-01-01,Europe,
777,2000-01-01,Eastern Africa,
778,2000-01-01,Australia and New Zealand,
779,2000-01-01,Martinique,
780,2000-01-01,Asia,
781,2000-01-01,Mayotte,
782,2000-01-01,Melanesia,
783,2000-01-01,Aruba,
784,2000-01-01,Micronesia,
785,2000-01-01,Middle Africa,
786,2000-01-01,Central America,
787,2000-01-01,"China, Hong Kong SAR",
788,2000-01-01,Guadeloupe,
789,2000-01-01,Réunion,
790,2000-01-01,Central America,
791,2000-01-01,Curaçao,
792,2000-01-01,Eastern Africa,
793,2000-01-01,Eastern Europe,
794,2000-01-01,Europe,
795,2000-01-01,Caribbean,
796,2000-01-01,French Guiana,
797,2000-01-01,French Polynesia,
798,2000-01-01,Germany,0.007
799,2000-01-01,Guadeloupe,
800,2000-01-01,Guam,
801,2000-01-01,Guam,
802,2000-01-01,Guadeloupe,
803,2000-01-01,Germany,0.007
804,2000-01-01,French Polynesia,
805,2000-01-01,French Guiana,
806,2000-01-01,Europe,
807,2000-01-01,Eastern Europe,
808,2000-01-01,Eastern Africa,
809,2000-01-01,Martinique,
810,2000-01-01,Mayotte,
811,2000-01-01,Melanesia,
812,2000-01-01,Micronesia,
813,2000-01-01,Middle Africa,
814,2000-01-01,Curaçao,
815,2000-01-01,Martinique,
816,2000-01-01,"China, Macao SAR",
817,2000-01-01,"China, Hong Kong SAR",
818,2000-01-01,Channel Islands,
819,2000-01-01,United States Virgin Islands,
820,2000-01-01,Uruguay,0.026
821,2000-01-01,Polynesia,
822,2000-01-01,Western Africa,
823,2000-01-01,Western Europe,
824,2000-01-01,Western Sahara,
825,2000-01-01,Africa,
826,2000-01-01,"China, Macao SAR",
827,2000-01-01,"China, Hong Kong SAR",
828,2000-01-01,Other non-specified areas,
829,2000-01-01,Antigua and Barbuda,
830,2000-01-01,Oceania,
831,2000-01-01,Guam,
832,2000-01-01,Aruba,
833,2000-01-01,Australia and New Zealand,
834,2000-01-01,Northern Europe,
835,2000-01-01,Northern America,
836,2000-01-01,New Caledonia,
837,2000-01-01,Channel Islands,
838,2000-01-01,Middle Africa,
839,2000-01-01,Micronesia,
840,2000-01-01,Caribbean,
841,2000-01-01,Melanesia,
842,2000-01-01,Central America,
843,2000-01-01,Central Asia,
844,2000-01-01,Mayotte,
845,2000-01-01,Asia,
846,2000-01-01,Asia,
847,2000-01-01,Palau,
848,2000-01-01,Northern Mariana Islands,
849,2000-01-01,Anguilla,
850,2000-01-01,Anguilla,
851,2000-01-01,Anguilla,
852,2000-01-01,San Marino,
853,2000-01-01,Palau,
854,2000-01-01,San Marino,
855,2000-01-01,Northern Mariana Islands,
856,2000-01-01,Palau,
857,2000-01-01,Northern Mariana Islands,
858,2000-01-01,Anguilla,
859,2000-01-01,San Marino,
860,2000-01-01,Anguilla,
861,2000-01-01,British Virgin Islands,
862,2000-01-01,Nauru,
863,2000-01-01,Turks and Caicos Islands,
864,2000-01-01,British Virgin Islands,
865,2000-01-01,British Virgin Islands,
866,2000-01-01,Turks and Caicos Islands,
867,2000-01-01,British Virgin Islands,
868,2000-01-01,Nauru,
869,2000-01-01,Turks and Caicos Islands,
870,2000-01-01,British Virgin Islands,
871,2000-01-01,Nauru,
872,2000-01-01,Andorra,
873,2000-01-01,Cook Islands,
874,2000-01-01,Marshall Islands,
875,2000-01-01,Liechtenstein,
876,2000-01-01,Faroe Islands,
877,2000-01-01,Greenland,
878,2000-01-01,Andorra,
879,2000-01-01,Faroe Islands,
880,2000-01-01,Cook Islands,
881,2000-01-01,Gibraltar,
882,2000-01-01,Faroe Islands,
883,2000-01-01,Greenland,
884,2000-01-01,Bermuda,
885,2000-01-01,Bermuda,
886,2000-01-01,Andorra,
887,2000-01-01,Wallis and Futuna Islands,
888,2000-01-01,Bermuda,
889,2000-01-01,Gibraltar,
890,2000-01-01,Greenland,
891,2000-01-01,Liechtenstein,
892,2000-01-01,Marshall Islands,
893,2000-01-01,Andorra,
894,2000-01-01,Gibraltar,
895,2000-01-01,Greenland,
896,2000-01-01,Gibraltar,
897,2000-01-01,Wallis and Futuna Islands,
898,2000-01-01,Faroe Islands,
899,2000-01-01,Liechtenstein,
900,2000-01-01,Andorra,
901,2000-01-01,Cook Islands,
902,2000-01-01,Bermuda,
903,2000-01-01,Cook Islands,
904,2000-01-01,Marshall Islands,
905,2000-01-01,Wallis and Futuna Islands,
906,2000-01-01,Bermuda,
907,2000-01-01,Saint Helena,
908,2000-01-01,Isle of Man,
909,2000-01-01,Holy See,
910,2000-01-01,Monaco,
911,2000-01-01,Montserrat,
912,2000-01-01,Niue,
913,2000-01-01,Monaco,
914,2000-01-01,Holy See,
915,2000-01-01,Isle of Man,
916,2000-01-01,Niue,
917,2000-01-01,Isle of Man,
918,2000-01-01,Falkland Islands (Malvinas),
919,2000-01-01,Dominica,
920,2000-01-01,Cayman Islands,
921,2000-01-01,Saint Helena,
922,2000-01-01,Saint Kitts and Nevis,
923,2000-01-01,Sint Maarten (Dutch part),
924,2000-01-01,American Samoa,
925,2000-01-01,Tokelau,
926,2000-01-01,Tuvalu,
927,2000-01-01,American Samoa,
928,2000-01-01,American Samoa,
929,2000-01-01,Montserrat,
930,2000-01-01,Holy See,
931,2000-01-01,Saint Kitts and Nevis,
932,2000-01-01,Saint Kitts and Nevis,
933,2000-01-01,Niue,
934,2000-01-01,Sint Maarten (Dutch part),
935,2000-01-01,Montserrat,
936,2000-01-01,Monaco,
937,2000-01-01,Dominica,
938,2000-01-01,Tokelau,
939,2000-01-01,Isle of Man,
940,2000-01-01,Holy See,
941,2000-01-01,Tuvalu,
942,2000-01-01,Saint Helena,
943,2000-01-01,Falkland Islands (Malvinas),
944,2000-01-01,Dominica,
945,2000-01-01,Cayman Islands,
946,2000-01-01,American Samoa,
947,2000-01-01,Falkland Islands (Malvinas),
948,2000-01-01,Sint Maarten (Dutch part),
949,2000-01-01,Tokelau,
950,2000-01-01,Falkland Islands (Malvinas),
951,2000-01-01,Cayman Islands,
952,2000-01-01,American Samoa,
953,2000-01-01,Tuvalu,
954,2000-01-01,Dominica,
955,2000-01-01,Cayman Islands,
956,2000-01-01,Saint Pierre and Miquelon,
957,2000-01-01,"Bonaire, St. Eustatius & Saba",
958,2000-01-01,"Bonaire, St. Eustatius & Saba",
959,2000-01-01,"Bonaire, St. Eustatius & Saba",
960,2000-01-01,"Bonaire, St. Eustatius & Saba",
961,2000-01-01,Saint Pierre and Miquelon,
962,2000-01-01,Saint Pierre and Miquelon,
963,2000-01-01,Afghanistan,
964,2000-01-01,Afghanistan,
965,2000-01-01,"Bonaire, St. Eustatius & Saba",
966,2000-01-01,Afghanistan,
